Email_ID,Email_Body,Generated_Prompt,Friends_Feedback
1072,"You have received this message because someone has attempted to send you an e-mail from outside of Enron with an attachment type that Enron does not allow into our messaging environment.
Your e-mail has been quarantined and is being held at the MailSweeper server.
Sender:  lwbthemarine@alltel.net","Write an email to lwbthemarine@alltel.net with a direct statement that someone has attempted to send them an e-mail from outside Enron with an unallowed attachment, which is being held at the MailSweeper server, mirroring the original email's brevity, factual accuracy, and formal tone, while including the phrase 'You have received this message because someone has attempted to send you an e-mail' to match the Original Email's sentence structure.",
1771,"FYI:  PEP is accessible remotely from the web by typing pep.enron.com into the address bar of your browser.
To enter you must have your user id and password.
The PEP Help Desk line is x34777.
Thanks,","Write a formal email The email should state that PEP can be accessed at pep.enron.com with user id and password, include the PEP Help Desk line as x34777, using a formal tone similar to 'FYI' and focusing on factual accuracy, thanks",
1649,"Any room at the inn?
I am looking for a spot for Beth Apollo.
She will be  working with me, starting on January 29th in Houston.
--Sally","Write an email Draft a direct and friendly email inquiring about a spot for Beth Apollo in Houston starting January 29th, using a phrase like 'any room at the inn?' to ask about availability, in a concise and polite tone, mentioning Beth Apollo will be working with the sender, and signed '--Sally'. Ensure the tone is casual and conversational by avoiding unnecessary phrases, match the original's tone, conciseness, and style closely, and maintain factual accuracy by mentioning Beth Apollo's name before her start date, while avoiding redundant expressions and extra phrases that make the email sound formal or less direct.",
2018,"Attached is your morning research report for Friday, August 31, 2001.
Please contact me if there are particular companies or sectors that you are interested in hearing from.
(713-853-2407)  Thank You,","Generate a Friday August 31 2001 email with a morning research report attachment. Contact us for custom research inquiries on specific companies and sectors of interest. Phone: 555-555-5555, Email: [research@company.com](mailto:research@company.com), Fax: 555-555-5556.",
1761,"The revised invoices for Duke contracts 27291 and 27349 appear to be correct.
The attached schedule shows the estimated revenue impact and the actual revised billing for both contracts.
The invoices are going out today to the customer along with an explanation for the change.
I will strive to capture the alternate deliveries to California calculation each month and forward the data to Lorraine and Jan/Jeanette.
If you have any questions, please let me know.
Thanks,  Bert","Email to Lorraine and Jan/Jeanette, I wanted to personally reach out and confirm the changes to contracts 27291 and 27349, the revised monthly deliveries are attached for your review, in short, this will have a direct impact on our revenue, I'd love to discuss the details with you, best, [Your Name]",
1117,"Please disregard the changes to the Agua Dulce product below.
Instead I need to change the Corpus Chr PoolX product.
Please remove Koch  Refinery (Meter #1244) from the Corpus product.
The applicable product numbers are 27661, 27662, 27663, 27660.
Thanks,","Write an email to Corpus Chr PoolX with the subject 'Corpus Chr PoolX product', starting with 'Please disregard changes to the Agua Dulce product', and requesting removal of Koch Refinery Meter 1244 from products 27661, 27662, 27663, and 27660, while maintaining a polite and direct tone by using simple language and avoiding phrases like 'We are requesting', ensuring factual accuracy by directly stating the product numbers and removal of Koch Refinery Meter 1244 from the Corpus product, and including the phrase 'Instead I need to change' for clarity and contextual information, and ending with a polite expression like 'Thanks'",
1251,"Miss Meagan Worthing Beck.
Meghan's escort is Michael Austin Lyons.
Meagan's parents are Sally & David Beck.
Meagan is being presented by her  father, David Beck.
Meagan & her mother, Sally, have participated in NCL for 6 years.
Meagan's offices include Vice President of Activities and she has received the  Perfect Attendance Award.
Northwest Assistance Ministries was Meagan's favorite philanthropy.
In  particular, she will remember helping distribute food to victims after Tropical  Storm Allison and experiencing the immediate difference it made to the  recipients.
NCL has allowed her to become friends with many different girls,  whose friendships she will value forever.
As a student at Klein High, Meagan was a member of the Bearkadettes Drill  Team and Spanish Honor Society.
She also is a member of Sugar Plum Cotillion.
Her college plans will include either the University of Texas, SMU or the  University of Oklahoma.
She plans to major in Advertising.
Ladies & Gentlemen: Miss Meagan Worthing Beck","Write an email introduction for Miss Meagan Worthing Beck The introduction should focus on her National Charity League (NCL) roles, charitable endeavors, and higher education goals, with a personal and heartfelt tone, incorporating specific details about her experience with Tropical Storm Allison, participation in the Bearkadettes Drill Team, membership in the Spanish Honor Society, and cotillion membership, as well as her parents, offices, awards, and favorite philanthropy, avoiding overly formal and flattering language, and ensuring factual accuracy, without using phrases like 'heart of gold' or 'compassion, intellect, and beauty', and ending with: Ladies & Gentlemen: Miss Meagan Worthing Beck",
1321,"Sally, some thoughts/ideas that I thought about after your meeting.
Lets promote the positive - some very exciting things are happening such as the move to the new building, lets make sure we get the PR out there to talk about the new features, move in plans, etc.
I know security is tight but how about a mini open house.
At this point it would do us good to go beyond the ""Building Guy"".
I know I get excited whenever I'm over there.
Things like vendors in the lobby to push new technology etc.
I believe it's important to keep that almost ""electric"" atmosphere that surrounds the company.
Lets show our employees that our outside business relationships are as strong as ever and our vendors/business partners still view Enron as someone they are eager to continue doing business with.
I always get charged up when the lobby is full of activity.
Keeps the pulse of Enron at a high level.
Get some fun things out there, things the employees can purchase, electronic devices are always attractive.
Work out a decent discount to make it exciting.
Give it a holiday twist.
Even if it costs us a few bucks to make that happen might be worth it.
Make a push to host more industry meetings (GISB is one that I can help with).
Lets get our counterparties in here and let them know nothing has changed.
We can include mini tours of the new building to get the word back on the street about how we might be down but boy are we poised to grow, grow and grow some more.
I mentioned to you that I believe it's important for the Executive team to show up often to reassure our employees that yes there are real, caring people running this company.
Maybe some impromptu floor meetings to talk about recent events.
Let them feel like there is a real connection.
Make it personal and regular.
Thanks for listening, the sense from my group has been okay.
Lots of concerns but nobody running out the door at this point.
I'll keep you posted.
Bob Superty","Write an email to Sally with a more casual and enthusiastic tone, focusing on creating a strong atmosphere in the new building with industry meetings and mini tours, while reassuring employees and promoting the company's positives in a concise manner, and including specific details about the new building and the company's plans, as well as personal experiences and connections with the company The email should have a tone similar to the Original Email, with a personal touch and enthusiasm, and should be concise, avoiding unnecessary phrases and sentences, while also including specific details about the new building, such as its location, design, and features, and the company's plans, such as the expected move-in date, and the author's personal experiences and connections with the company, such as their excitement about the new building and their interactions with employees, and should promote the company's positives, such as its mission, values, and achievements, while reassuring employees about the transition to the new building",
1450,"Thanks in advance for agreeing to speak at the Global Operations Controller  Forum.
There will be approximately 30 Enron business controllers present at  the meeting.
All have responsibility for mid and back office operations for  the following Enron entities:  Enron North America, Enron Europe, Enron South  America, Enron Global Markets, Enron Industrial Markets, Enron Broadband  Services and Enron Energy Services.
Attendees will be here from Houston,  Calgary, Tokyo, Sydney, London and New York (metals business-maybe!).
Attached for your reference is the agenda.
There may be some slight changes  before the forum begins, but this will give you a good idea of the topics to  be covered and the other speakers who will address the group.
You are scheduled to address the group as follows:","Draft a sincere email to the Global Operations Controller Forum speaker, expressing appreciation for their upcoming participation. Please note the details of your speaking engagement, including the topic and time, as outlined in the attached agenda. The metals business may be relevant to your presentation, as some attendees represent Enron entities involved in this area. We look forward to your presentation and appreciate your time. Please be prepared to discuss your topic and address any questions from attendees, who have responsibilities including [insert responsibilities].",
1136,"I know you had asked for some info on Texas previously.
Sorry it is so late,  but here is a map of Tx pieplines.
The most notable (that are no on the  current pipeline map) are Oasis, Lonestar, Valero, and HPL.
Thanks,","Write a super casual email with Texas pipeline data, including a map, featuring notable pipelines like Oasis, Lonestar, Valero, and HPL, and say sorry for the delayed response, in a professional but relaxed tone, straight to the point, without excess phrases or formal greetings, and make sure to be concise and accurate, like the Original Email",
