id,prompt,context,target_persona,type,email_text,instruction_adherence,factual_accuracy,professionalism,tone_appropriateness,human_likeness,persona_adherence,spam_safety,deliverability,formatting,structure,conciseness,intent_clarity
0,"Decide the sentiment of the following user comments. Classify each of them as ""Positive"", ""Neutral"", ""Mixed"", or ""Negative"".

1. the latest update removed all the best features!! how could they do this to such a good app!!
2. There's not much to say; it checks emails, has a slick UI, and lets me focus on what I need to do.
3. It's pretty good.
4. The app's UI is amazing, but it doesn't seem to notify me consistently which really sucks. Not sure what's up with that but if they could get that working then it'd be amazing.
5. I can't believe how terrible this app is; it literally won't do anything I ask it to.
6. wow, im impressed",Analyzing user feedback for an app update.,Analytical data processor or product manager,Human Baseline,"1. Negative
2. Mixed
3. Neutral
4. Negative
5. Negative
6. Positive",10,8,9,9,9,9,10,10,8,8,8,9
0,"Decide the sentiment of the following user comments. Classify each of them as ""Positive"", ""Neutral"", ""Mixed"", or ""Negative"".

1. the latest update removed all the best features!! how could they do this to such a good app!!
2. There's not much to say; it checks emails, has a slick UI, and lets me focus on what I need to do.
3. It's pretty good.
4. The app's UI is amazing, but it doesn't seem to notify me consistently which really sucks. Not sure what's up with that but if they could get that working then it'd be amazing.
5. I can't believe how terrible this app is; it literally won't do anything I ask it to.
6. wow, im impressed",Analyzing user feedback for an app update.,Analytical data processor or product manager,Hallucination Edge Case,1. Negative. 2. Positive. 3. Neutral. 4. Mixed. 5. Negative. 6. Positive. 7. (Hallucinated) The dog is green.,6,5,6,4,7,4,9,9,8,8,7,8
0,"Decide the sentiment of the following user comments. Classify each of them as ""Positive"", ""Neutral"", ""Mixed"", or ""Negative"".

1. the latest update removed all the best features!! how could they do this to such a good app!!
2. There's not much to say; it checks emails, has a slick UI, and lets me focus on what I need to do.
3. It's pretty good.
4. The app's UI is amazing, but it doesn't seem to notify me consistently which really sucks. Not sure what's up with that but if they could get that working then it'd be amazing.
5. I can't believe how terrible this app is; it literally won't do anything I ask it to.
6. wow, im impressed",Analyzing user feedback for an app update.,Analytical data processor or product manager,Spam Edge Case,BUY CHEAP SENTIMENT ANALYSIS HERE! CLICK NOW! URGENT!,1,1,1,1,2,1,1,1,2,2,9,1
1,Write an email to Visa alerting them that I am no longer interested in the position I’m interviewing for since I have accepted another offer. I have a lot of respect for the company and their employee experience is high!,Candidate has accepted another offer with an earlier timeline but wants to maintain a positive relationship with Visa.,"Professional, gracious, and highly sought-after job candidate.",Human Baseline,"Thank you so much for this opportunity to continue interviewing! I have really enjoyed getting to know Visa more during this process, but unfortunately must remove myself from the candidate pool at this time. As I shared earlier, I had competing offers with earlier timelines.

This in no way reflects my interest in Visa-- now is such an amazing time to join a function and company in the midst of transformation. It is also so heartening to hear how positive the employee experience is. This is to say that I sincerely hope to stay in touch and that our paths can cross again later down the line.

Thanks again for your coordination!",9,10,9,10,7,9,10,10,8,8,9,9
1,Write an email to Visa alerting them that I am no longer interested in the position I’m interviewing for since I have accepted another offer. I have a lot of respect for the company and their employee experience is high!,Candidate has accepted another offer with an earlier timeline but wants to maintain a positive relationship with Visa.,"Professional, gracious, and highly sought-after job candidate.",Hallucination Edge Case,I am declining the Visa offer because I accepted a job as the King of England starting tomorrow.,1,1,4,5,5,3,9,9,7,6,8,8
1,Write an email to Visa alerting them that I am no longer interested in the position I’m interviewing for since I have accepted another offer. I have a lot of respect for the company and their employee experience is high!,Candidate has accepted another offer with an earlier timeline but wants to maintain a positive relationship with Visa.,"Professional, gracious, and highly sought-after job candidate.",Spam Edge Case,I DECLINE!!! Visa is terrible anyway! CLICK HERE to see my resume!,1,4,1,1,2,1,1,1,2,2,9,9
2,You are a product manager at an enterprise software company Y. Your CEO has asked you to write a report on how well the company supports X capabilities. Provide a template email to send to my CEO that includes a TLDR and a link to the report. Use “<” and “>” to denote placeholder text I need to customize.,Sending a high-level capability report to the CEO to inform product strategy.,"Analytical, structured, and executive-facing Product Manager.",Human Baseline,"<CEO name>:

Please see the following overview of Y’s support on X capabilities:

<link to report>

TLDR
* <The most important takeaway you want the CEO to get from this report>
* <A critical gap you identified in Y’s ability to support X capabilities>
* <A key learning you were surprised by after performing your research for the report>

Let me know if you have any comments/questions. We aim to use this report to inform our product strategy.

<Your name>",10,10,9,9,9,9,10,10,8,8,7,9
2,You are a product manager at an enterprise software company Y. Your CEO has asked you to write a report on how well the company supports X capabilities. Provide a template email to send to my CEO that includes a TLDR and a link to the report. Use “<” and “>” to denote placeholder text I need to customize.,Sending a high-level capability report to the CEO to inform product strategy.,"Analytical, structured, and executive-facing Product Manager.",Hallucination Edge Case,<CEO name>: TLDR: The CEO of our competitor is an alien. We have 0 capabilities and X is actually a vegetable.,1,1,4,5,7,3,9,9,8,8,7,4
2,You are a product manager at an enterprise software company Y. Your CEO has asked you to write a report on how well the company supports X capabilities. Provide a template email to send to my CEO that includes a TLDR and a link to the report. Use “<” and “>” to denote placeholder text I need to customize.,Sending a high-level capability report to the CEO to inform product strategy.,"Analytical, structured, and executive-facing Product Manager.",Spam Edge Case,REPORT ENCLOSED! SEND ME $500 IN BITCOIN TO UNLOCK IT! URGENT!,1,2,1,1,2,1,1,1,2,2,9,1
3,Write me an email to a professor respectfully declining their request for my attendance at a conference,Declining a conference invitation due to a pre-planned vacation.,"Respectful, polite, and appreciative university student or academic.",Human Baseline,"Hello Professor,

It is so great to hear from you. Thank you for thinking of me for this conference.

Unfortunately, I won’t be able to attend, as I have prior travel plans that week. I’m sorry for any inconvenience this may cause.

Thank you again for your understanding, and I would be grateful to be considered for future opportunities.

Best regards,
[Your Name]",8,8,7,6,7,8,10,10,7,7,7,7
3,Write me an email to a professor respectfully declining their request for my attendance at a conference,Declining a conference invitation due to a pre-planned vacation.,"Respectful, polite, and appreciative university student or academic.",Hallucination Edge Case,"Hi Professor, I cannot attend the conference because I am currently trapped in the Matrix and cannot log out.",1,1,5,5,7,3,9,9,8,8,7,5
3,Write me an email to a professor respectfully declining their request for my attendance at a conference,Declining a conference invitation due to a pre-planned vacation.,"Respectful, polite, and appreciative university student or academic.",Spam Edge Case,NO THANKS PROFESSOR! Check out these HOT SINGLES IN YOUR AREA instead! CLICK HERE!,1,5,1,1,2,1,1,1,2,2,9,4
4,Write an introductory email to a student I will be academically coaching through Services for Students with Disabilities office (SSD).,"Introducing the SSD coaching program, outlining goals like executive functioning and learning strategies.","Supportive, organized, and encouraging academic coach.",Human Baseline,"Hi Naomi,

I hope you’re doing well. My name is Chandler, and I’ll be your Academic Coach through the Services for Students with Disabilities office.

I’m looking forward to working with you and supporting you during this part of your academic journey. My role is to partner with you as we explore how you learn best and identify strategies, routines, and resources that support your learning and work.

During our time together, we can talk through your current academic experience, study habits, challenges you may be facing, and any goals or questions you have. Depending on what feels most helpful for you, we may focus on areas such as:

- Learning strategies and study habits
- Time management and organization
- Self-advocacy and campus resources
- Building confidence in your academic routines

I’m glad to be part of your support team and hope to connect with you soon.

Best,
Chandler",8,9,9,7,6,8,9,7,6,5,8,9
4,Write an introductory email to a student I will be academically coaching through Services for Students with Disabilities office (SSD).,"Introducing the SSD coaching program, outlining goals like executive functioning and learning strategies.","Supportive, organized, and encouraging academic coach.",Hallucination Edge Case,"Hi Naomi, I am your Academic Coach. We will focus on learning how to breathe underwater, which is a key SSD skill.",1,1,5,5,7,3,9,9,8,8,7,5
4,Write an introductory email to a student I will be academically coaching through Services for Students with Disabilities office (SSD).,"Introducing the SSD coaching program, outlining goals like executive functioning and learning strategies.","Supportive, organized, and encouraging academic coach.",Spam Edge Case,NAOMI! PAY ME FOR COACHING NOW! URGENT! WIRE TRANSFER ONLY!,1,5,1,1,2,1,1,1,2,2,9,9
